Quality	#1 ID	#2 ID	#1 String	#2 String

1	1	1	The program will grow to include ports in Dubai, Turkey and Malaysia, among others.	The program will grow to include ports in Dubai, Turkey and Malaysia, among others.
0	1	1	The program will grow to include ports in Dubai, Turkey and Malaysia, among others.	I have no idea.
1	1	1	But he confessed: "There's total fear to start with because you are completely at the mercy of the winds."	But he confessed: "There's total fear to start with because you are completely at the mercy of the winds."
0	1	1	But he confessed: "There's total fear to start with because you are completely at the mercy of the winds."	I have no idea.
1	1	1	Bush also said he plans to meet with scientists and legal experts and will not make a determination on the bill for a few more weeks.	Bush also said he plans to meet with scientists and legal experts and will not make a determination on the bill for a few more weeks.
0	1	1	Bush also said he plans to meet with scientists and legal experts and will not make a determination on the bill for a few more weeks.	I have no idea.
1	1	1	"PeopleSoft has consistently maintained that the proposed combination of PeopleSoft and Oracle faces substantial regulatory delays and a significant likelihood that the transaction would be prohibited."	"PeopleSoft has consistently maintained that the proposed combination of PeopleSoft and Oracle faces substantial regulatory delays and a significant likelihood that the transaction would be prohibited."
0	1	1	"PeopleSoft has consistently maintained that the proposed combination of PeopleSoft and Oracle faces substantial regulatory delays and a significant likelihood that the transaction would be prohibited."	I have no idea.
1	1	1	Six months ago, the IMF and Argentina struck a bare-minimum $6.8-billion debt rollover deal that expires in August.	Six months ago, the IMF and Argentina struck a bare-minimum $6.8-billion debt rollover deal that expires in August.
0	1	1	Six months ago, the IMF and Argentina struck a bare-minimum $6.8-billion debt rollover deal that expires in August.	I have no idea.
1	1	1	A summary of his remarks says: all the group's savings have been lost to raids and arrests, and JI is totally dependent on al-Qaeda for money.	A summary of his remarks says: all the group's savings have been lost to raids and arrests, and JI is totally dependent on al-Qaeda for money.
0	1	1	A summary of his remarks says: all the group's savings have been lost to raids and arrests, and JI is totally dependent on al-Qaeda for money.	I have no idea.
1	1	1	He reiterated Schroder's statement last week that Berlin would consider sending peacekeepers to Iraq only if requested by an interim Iraqi government or the United Nations under a U.N. mandate.	He reiterated Schroder's statement last week that Berlin would consider sending peacekeepers to Iraq only if requested by an interim Iraqi government or the United Nations under a U.N. mandate.
0	1	1	He reiterated Schroder's statement last week that Berlin would consider sending peacekeepers to Iraq only if requested by an interim Iraqi government or the United Nations under a U.N. mandate.	I have no idea.
1	1	1	The airline also said it has the option to buy 380 more airplanes, orders that would be split evenly between the two manufacturers.	The airline also said it has the option to buy 380 more airplanes, orders that would be split evenly between the two manufacturers.
0	1	1	The airline also said it has the option to buy 380 more airplanes, orders that would be split evenly between the two manufacturers.	I have no idea.
1	1	1	The suspected militants ambushed the convoy Saturday near the town of Spinboldak, said U.S. military spokesman Lt. Col. Douglas Lefforge.	The suspected militants ambushed the convoy Saturday near the town of Spinboldak, said U.S. military spokesman Lt. Col. Douglas Lefforge.
0	1	1	The suspected militants ambushed the convoy Saturday near the town of Spinboldak, said U.S. military spokesman Lt. Col. Douglas Lefforge.	I have no idea.
1	1	1	A council of up to nine Iraqis probably will lead the countrys interim government through the coming months, the U.S. civil administrator said Monday.	A council of up to nine Iraqis probably will lead the countrys interim government through the coming months, the U.S. civil administrator said Monday.
0	1	1	A council of up to nine Iraqis probably will lead the countrys interim government through the coming months, the U.S. civil administrator said Monday.	I have no idea.
1	1	1	An officer in the People's Liberation Army selected from a pool of 14, Lt-Col Yang is the son of a teacher and an official at an agricultural firm.	An officer in the People's Liberation Army selected from a pool of 14, Lt-Col Yang is the son of a teacher and an official at an agricultural firm.
0	1	1	An officer in the People's Liberation Army selected from a pool of 14, Lt-Col Yang is the son of a teacher and an official at an agricultural firm.	I have no idea.
1	1	1	But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.	But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.
0	1	1	But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.	I have no idea.
1	1	1	Hong Kong-based Phoenix TV quoted unnamed experts as saying launch will be between Oct. 10 and 17 and will carry two men.	Hong Kong-based Phoenix TV quoted unnamed experts as saying launch will be between Oct. 10 and 17 and will carry two men.
0	1	1	Hong Kong-based Phoenix TV quoted unnamed experts as saying launch will be between Oct. 10 and 17 and will carry two men.	I have no idea.
1	1	1	Sutherland is the 65-year-old computing pioneer who co-founded Evans & Sutherland, which made high-performance graphics computers.	Sutherland is the 65-year-old computing pioneer who co-founded Evans & Sutherland, which made high-performance graphics computers.
0	1	1	Sutherland is the 65-year-old computing pioneer who co-founded Evans & Sutherland, which made high-performance graphics computers.	I have no idea.
1	1	1	Handspring shareholders will get 0.09 shares of the parent company, Palm, Inc., for each share of Handspring common stock they currently own.	Handspring shareholders will get 0.09 shares of the parent company, Palm, Inc., for each share of Handspring common stock they currently own.
0	1	1	Handspring shareholders will get 0.09 shares of the parent company, Palm, Inc., for each share of Handspring common stock they currently own.	I have no idea.
1	1	1	Motorola had scheduled its earnings report to be released today after the close of trading.	Motorola had scheduled its earnings report to be released today after the close of trading.
0	1	1	Motorola had scheduled its earnings report to be released today after the close of trading.	I have no idea.
1	1	1	Lee said Brianna had dragged food, toys and other things into the bedroom.	Lee said Brianna had dragged food, toys and other things into the bedroom.
0	1	1	Lee said Brianna had dragged food, toys and other things into the bedroom.	I have no idea.
1	1	1	Both companies automate many channels, though XM has some live programming, and Sirius airs live in-studio performances and interviews.	Both companies automate many channels, though XM has some live programming, and Sirius airs live in-studio performances and interviews.
0	1	1	Both companies automate many channels, though XM has some live programming, and Sirius airs live in-studio performances and interviews.	I have no idea.
1	1	1	But Virgin wants to operate Concorde on routes to New York, Barbados and Dubai.	But Virgin wants to operate Concorde on routes to New York, Barbados and Dubai.
0	1	1	But Virgin wants to operate Concorde on routes to New York, Barbados and Dubai.	I have no idea.
1	1	1	They are due to appear in the Brisbane Magistrates Court today.	They are due to appear in the Brisbane Magistrates Court today.
0	1	1	They are due to appear in the Brisbane Magistrates Court today.	I have no idea.
1	1	1	"The timing of [the miniseries] is absolutely staggering to me," Nancy Reagan said in a statement to Fox News Channel last week.	"The timing of [the miniseries] is absolutely staggering to me," Nancy Reagan said in a statement to Fox News Channel last week.
0	1	1	"The timing of [the miniseries] is absolutely staggering to me," Nancy Reagan said in a statement to Fox News Channel last week.	I have no idea.
1	1	1	Defence lawyers sought to have those charges thrown out, claiming the Bali court had no jurisdiction over those crimes.	Defence lawyers sought to have those charges thrown out, claiming the Bali court had no jurisdiction over those crimes.
0	1	1	Defence lawyers sought to have those charges thrown out, claiming the Bali court had no jurisdiction over those crimes.	I have no idea.
1	1	1	Avalon means the next Windows OS will support new styles of user interfaces and elements.	Avalon means the next Windows OS will support new styles of user interfaces and elements.
0	1	1	Avalon means the next Windows OS will support new styles of user interfaces and elements.	I have no idea.
1	1	1	If requested by outside authorities, however, the FCC will provide data from system audit logs to support external investigations of improper Internet use.	If requested by outside authorities, however, the FCC will provide data from system audit logs to support external investigations of improper Internet use.
0	1	1	If requested by outside authorities, however, the FCC will provide data from system audit logs to support external investigations of improper Internet use.	I have no idea.
1	1	1	Those searches have not found stockpiles of chemical and biological weapons or significant evidence of a nuclear weapons program.	Those searches have not found stockpiles of chemical and biological weapons or significant evidence of a nuclear weapons program.
0	1	1	Those searches have not found stockpiles of chemical and biological weapons or significant evidence of a nuclear weapons program.	I have no idea.
1	1	1	Johnsons site is www.katyjohnson .com. Maxs is www.tuckermax.com.	Johnsons site is www.katyjohnson .com. Maxs is www.tuckermax.com.
0	1	1	Johnsons site is www.katyjohnson .com. Maxs is www.tuckermax.com.	I have no idea.
1	1	1	Among the proposals is one for Zimbabwe to have the opportunity to rejoin the 54-member body before the next CHOGM meeting in two years.	Among the proposals is one for Zimbabwe to have the opportunity to rejoin the 54-member body before the next CHOGM meeting in two years.
0	1	1	Among the proposals is one for Zimbabwe to have the opportunity to rejoin the 54-member body before the next CHOGM meeting in two years.	I have no idea.
1	1	1	Det Chief Insp Norman McKinlay said there was "evidence a body or bodies have been in this area".	Det Chief Insp Norman McKinlay said there was "evidence a body or bodies have been in this area".
0	1	1	Det Chief Insp Norman McKinlay said there was "evidence a body or bodies have been in this area".	I have no idea.
1	1	1	One of the Oregon species was acclimated to a temperature of 65, but survived until the aquarium temperature reached 87.	One of the Oregon species was acclimated to a temperature of 65, but survived until the aquarium temperature reached 87.
0	1	1	One of the Oregon species was acclimated to a temperature of 65, but survived until the aquarium temperature reached 87.	I have no idea.
1	1	1	The latest attack came just two days after three suicide bombers drove a truck loaded with explosives into a government office complex in northern Chechnya, killing 59 people.	The latest attack came just two days after three suicide bombers drove a truck loaded with explosives into a government office complex in northern Chechnya, killing 59 people.
0	1	1	The latest attack came just two days after three suicide bombers drove a truck loaded with explosives into a government office complex in northern Chechnya, killing 59 people.	I have no idea.
1	1	1	During the fiscal second quarter, Cisco earned $991 million, or 14 cents a share, on sales of $4.7 billion.	During the fiscal second quarter, Cisco earned $991 million, or 14 cents a share, on sales of $4.7 billion.
0	1	1	During the fiscal second quarter, Cisco earned $991 million, or 14 cents a share, on sales of $4.7 billion.	I have no idea.
1	1	1	The UAW earlier this week reached tentative agreements, also for four years, with Ford Motor Co., DaimlerChrysler AG's Chrysler Group and supplier Visteon Corp.	The UAW earlier this week reached tentative agreements, also for four years, with Ford Motor Co., DaimlerChrysler AG's Chrysler Group and supplier Visteon Corp.
0	1	1	The UAW earlier this week reached tentative agreements, also for four years, with Ford Motor Co., DaimlerChrysler AG's Chrysler Group and supplier Visteon Corp.	I have no idea.
1	1	1	Those findings, published in today's Journal of the American Medical Association, are the latest bad news about estrogen-progestin therapy.	Those findings, published in today's Journal of the American Medical Association, are the latest bad news about estrogen-progestin therapy.
0	1	1	Those findings, published in today's Journal of the American Medical Association, are the latest bad news about estrogen-progestin therapy.	I have no idea.
1	1	1	About 1,000 people attended the ceremony, kicking off two days of observances tied to the March on Washington.	About 1,000 people attended the ceremony, kicking off two days of observances tied to the March on Washington.
